TYPE,IDENT,LAT,LONG,Y_PROJ,X_PROJ,ALTITUDE
WAYPOINT,17369,10.63411728,-4.55772037,1175951.617,329602.5296,301.00
WAYPOINT,17370,10.63383473,-4.55757083,1175920.283,329618.7346,300.00
WAYPOINT,17371,10.63274307,-4.55746179,1175799.478,329630.0594,298.00
WAYPOINT,17372,10.6322938,-4.55733019,1175749.714,329644.2091,299.00
WAYPOINT,17373,10.63209088,-4.55715392,1175727.173,329663.3831,297.00
WAYPOINT,17374,10.63206883,-4.55688293,1175724.586,329693.0212,298.00
WAYPOINT,17375,10.63202709,-4.55662393,1175719.827,329721.3366,297.00
WAYPOINT,17376,10.63210152,-4.55665109,1175728.074,329718.4061,297.00
WAYPOINT,17377,10.63244225,-4.55677313,1175765.828,329705.2421,298.00
WAYPOINT,17378,10.63257728,-4.55711871,1175780.953,329667.5054,298.00
WAYPOINT,17379,10.63282203,-4.55689358,1175807.9,329692.2737,299.00
WAYPOINT,17380,10.63288439,-4.55699181,1175814.851,329681.5605,300.00
WAYPOINT,17381,10.63333483,-4.55595271,1175864.103,329795.503,301.00
WAYPOINT,17382,10.63186121,-4.55512843,1175700.659,329884.8747,299.00
WAYPOINT,17383,10.63186155,-4.5550452,1175700.651,329893.9815,299.00
WAYPOINT,17384,10.6319949,-4.55543119,1175715.612,329851.8223,300.00
WAYPOINT,17385,10.63181939,-4.55651765,1175696.796,329732.85,301.00
WAYPOINT,17386,10.6317872,-4.55667472,1175693.321,329715.6463,302.00
WAYPOINT,17387,10.6318556,-4.55688528,1175701.002,329692.6458,301.00
WAYPOINT,17388,10.63189751,-4.55716741,1175705.793,329661.7998,304.00
WAYPOINT,17389,10.6319374,-4.55743278,1175710.35,329632.7865,304.00
WAYPOINT,17390,10.6316344,-4.55736816,1175676.801,329639.6888,304.00
WAYPOINT,17391,10.63158654,-4.55681135,1175671.202,329700.5857,305.00
WAYPOINT,17392,10.63147908,-4.55642972,1175659.107,329742.2822,304.00
WAYPOINT,17393,10.63125059,-4.55660624,1175633.931,329722.8415,304.00
WAYPOINT,17394,10.63111866,-4.55649401,1175619.278,329735.048,304.00
WAYPOINT,17395,10.63131773,-4.5561988,1175641.134,329767.4589,305.00
WAYPOINT,17396,10.63116786,-4.55608875,1175624.497,329779.4169,304.00
WAYPOINT,17397,10.63104381,-4.55627281,1175610.877,329759.2092,303.00
WAYPOINT,17398,10.63079135,-4.55601524,1175582.813,329787.2514,304.00
WAYPOINT,17399,10.63070443,-4.55646786,1175573.447,329737.6796,309.00
WAYPOINT,17400,10.63081699,-4.55661404,1175585.977,329721.7476,308.00
WAYPOINT,17401,10.6310884,-4.55681143,1175616.105,329700.3006,309.00
WAYPOINT,17402,10.63118136,-4.55715836,1175626.577,329662.3928,312.00
WAYPOINT,17403,10.63122243,-4.55734134,1175631.22,329642.3947,316.00
WAYPOINT,17404,10.63096192,-4.55742935,1175602.454,329632.6206,314.00
WAYPOINT,17405,10.630674,-4.55712483,1175570.442,329665.78,314.00
WAYPOINT,17406,10.63082521,-4.55685343,1175587.017,329695.5592,310.00
WAYPOINT,17407,10.63074114,-4.55691587,1175577.753,329688.6807,311.00
WAYPOINT,17408,10.63056386,-4.55681504,1175558.089,329699.6148,311.00
WAYPOINT,17409,10.63031207,-4.55705912,1175530.374,329672.769,311.00
WAYPOINT,17410,10.63012222,-4.55718518,1175509.444,329658.8707,314.00
WAYPOINT,17411,10.63026387,-4.55723723,1175525.14,329653.2542,317.00
WAYPOINT,17412,10.63012096,-4.55696222,1175509.183,329683.2654,317.00
WAYPOINT,17413,10.62987202,-4.55685854,1175481.592,329694.4715,317.00
WAYPOINT,17414,10.62990001,-4.55658529,1175484.538,329724.3849,316.00
WAYPOINT,17415,10.63007075,-4.55654799,1175503.402,329728.5608,315.00
WAYPOINT,17416,10.62998015,-4.55627055,1175493.229,329758.8668,306.00
WAYPOINT,17417,10.62982483,-4.55625622,1175476.042,329760.3487,300.00
WAYPOINT,17418,10.62960271,-4.55644598,1175451.578,329739.4628,298.00
