univill,lat,longitude,y_proj,x_proj,altitude
4,10.6255579,-4.552803993,1175002.161,330135.7104,288
4,10.62838554,-4.553344727,1175315.284,330078.1305,286
4,10.63249111,-4.558130264,1175771.977,329556.7812,292
4,10.63125038,-4.546345711,1175628.256,330845.5158,296
4,10.62633705,-4.571246624,1175098.481,328118.2284,305
4,10.62748146,-4.553491592,1175215.303,330061.5338,292
4,10.63106728,-4.544770241,1175607.17,331017.7849,298
4,10.62671471,-4.555699825,1175131.712,329819.4857,297
4,10.62788391,-4.557763577,1175262.22,329594.3299,288
4,10.63214874,-4.558736324,1175734.476,329490.3022,290
4,10.62862396,-4.551677704,1175340.664,330260.6388,289
4,10.62625885,-4.553575039,1175080.115,330051.7595,294
4,10.62991333,-4.557816982,1175486.679,329589.6139,290
4,10.62411785,-4.556200981,1174844.821,329763.2119,283
4,10.62701797,-4.552401066,1175163.43,330180.6224,285
4,10.63320541,-4.558959007,1175851.393,329466.476,294
4,10.62678051,-4.552105904,1175137.097,330212.7925,289
4,10.63234234,-4.558233738,1175755.588,329545.3994,292
4,10.63362217,-4.545317173,1175890.034,330959.3316,301
4,10.63180447,-4.557750225,1175695.775,329597.9633,292
4,10.62828159,-4.553665161,1175303.945,330043.0116,286
4,10.62953663,-4.556210041,1175444.124,329765.2614,298
4,10.62564182,-4.556446552,1175013.491,329737.1941,284
4,10.63070488,-4.55646801,1175573.447,329737.6796,309
4,10.62794971,-4.557237625,1175269.134,329651.9519,291
4,10.62823868,-4.562784672,1175304.176,329045.1724,325
4,10.62308693,-4.550158501,1174727.466,330423.8099,287
4,10.62315845,-4.551439762,1174736.036,330283.675,289
4,10.62509346,-4.554913998,1174951.982,329904.6139,286
4,10.62934971,-4.545573711,1175417.629,330928.9256,297
4,10.63047981,-4.557608128,1175549.245,329612.8094,291
4,10.62217808,-4.549479008,1174626.525,330497.6512,286
4,10.62763977,-4.555952549,1175234.211,329792.3565,314
4,10.62610054,-4.552639961,1175062.109,330153.9866,289
4,10.62878895,-4.553384304,1175359.843,330073.9876,294
4,10.62782097,-4.554646015,1175253.51,329935.417,298
4,10.63012123,-4.556962013,1175509.183,329683.2654,317
4,10.62645149,-4.552593708,1175100.939,330159.2337,293
4,10.62310123,-4.556437969,1174732.486,329736.7307,282
4,10.62909603,-4.552629948,1175393.408,330156.7337,289
4,10.63386536,-4.558428764,1175924.166,329524.8764,300
4,10.6262579,-4.553865433,1175080.181,330019.9811,295
4,10.63019466,-4.557788372,1175517.841,329592.9335,290
4,10.62475491,-4.555457592,1174914.826,329844.9417,284
4,10.62329578,-4.551267147,1174751.211,330302.6444,288
4,10.62824631,-4.557269096,1175302.026,329648.6592,291
4,10.62534332,-4.554472446,1174979.433,329953.0395,299
4,10.63158607,-4.556811333,1175671.202,329700.5857,305
4,10.62857342,-4.552548409,1175335.588,330165.3415,283
4,10.62537766,-4.55245924,1174982.04,330173.3324,288
4,10.62661934,-4.555562019,1175121.132,329834.5469,298
4,10.6342926,-4.557409763,1175970.832,329636.6329,299
4,10.62553024,-4.553721905,1174999.678,330035.2615,297
4,10.63181973,-4.556517601,1175696.796,329732.85,301
4,10.62534523,-4.554790974,1174979.756,329918.1711,288
4,10.627882,-4.557724953,1175261.947,329598.5751,291
4,10.62511635,-4.55552721,1174954.831,329837.511,282
4,10.62916946,-4.553830147,1175402.232,330025.4263,284
4,10.62753963,-4.551679134,1175220.783,330259.8932,285
4,10.6310482,-4.545008659,1175605.232,330991.6836,301
4,10.63344193,-4.534790039,1175864.424,332111.0489,303
4,10.62681961,-4.552906513,1175141.864,330125.202,295
4,10.62602425,-4.565308094,1175060.675,328767.7935,328
4,10.62794113,-4.55659771,1175267.856,329721.942,295
4,10.62551403,-4.555138588,1174998.664,329880.2226,284
4,10.62719822,-4.557092667,1175185.959,329667.3558,317
