year,Tube,preservant,numfich,tube_id,date,month,village,method,position,compound_id,na1,na2,espece,stade,sexe,condit,initiale Nb of mosquitoes available ,Nb used for ELISA,num_elisa_corrected,available,sampled for Tristan,to_sample,parturit,Cluster,study
2014,"EPPENDORF 1,5ml",Silicagel,12,205,41837,07,BOUNOUBA,CDC,INT,109,,,An GA,ADULTE,F,AJ,3,1,1,2,2,2,NA,39,WP6
2015,"EPPENDORF 1,5ml",Silicagel,4,95,42197,07,KANKOUNABA I,CDC,INT,31,NA,20H-06H,GA,ADULTE,F,AJ,61,20,20,41,3,3,NA,1,
2015,"EPPENDORF 1,5ml",Silicagel,2,43,42197,07,KANKOUNABA II,CDC,INT,79,NA,20H-06H,GA,ADULTE,F,AJ,4,1,1,3,3,3,NA,1,
2015,"EPPENDORF 1,5ml",Silicagel,4,77,42209,07,BAKARIDJAN II,CDC,INT,421,NA,20H-06H,GA,ADULTE,F,AJ,9,6,6,3,3,3,NA,9,
2014,"EPPENDORF 1,5ml",Silicagel,18,503,41866,08,LOMBO,CDC,INT,218,,,An GA,ADULTE,F,AJ,4,1,1,3,3,3,NA,18,WP6
2015,"EPPENDORF 1,5ml",Silicagel,1,14,42186,07,BAMAKO,CDC,INT,51,NA,20H-06H,GA,ADULTE,F,AJ,9,5,5,4,3,3,NA,20,
2015,"EPPENDORF 1,5ml",Silicagel,1,15,42186,07,BAMAKO,CDC,INT,59,NA,20H-06H,GA,ADULTE,F,AJ,4,1,1,3,3,3,NA,20,
2014,"EPPENDORF 1,5ml",Silicagel,13,285,41850,07,KANKOUNADENI,CDC,INT,110,,,An GA,ADULTE,F,AJ,4,1,1,3,3,3,NA,36,WP6
2014,FALCON 14ml,Silicagel,5,224,41905,09,KANKOUNADENI,CDC,INT,89,,,An GA,ADULTE,F,AJ,51,17,17,34,3,3,NA,36,WP6
2015,"EPPENDORF 1,5ml",Silicagel,4,78,42209,07,KOFLANDE,CDC,INT,68,NA,20H-06H,GA,ADULTE,F,AJ,3,,,3,3,3,NA,37,
2015,"EPPENDORF 1,5ml",Silicagel,4,81,42209,07,KOFLANDE,CDC,INT,17,NA,20H-06H,GA,ADULTE,F,AJ,6,3,3,3,3,3,NA,37,
2015,"EPPENDORF 1,5ml",Silicagel,6,132,42257,09,BOUNOUBA,CDC,INT,70,NA,20H-06H,GA,ADULTE,F,AJ,18,4,4,14,3,3,NA,39,
2015,"EPPENDORF 1,5ml",Silicagel,6,133,42258,09,DANDOUGOU,CDC,INT,46,NA,20H-06H,GA,ADULTE,F,AJ,15,5,5,10,4,4,NA,2,
2015,"EPPENDORF 1,5ml",Silicagel,5,114,42251,09,SOBARA III,CDC,INT,262,NA,20H-06H,GA,ADULTE,F,AJ,29,10,10,19,4,4,NA,3,
2015,"EPPENDORF 1,5ml",Silicagel,1,10,42186,07,YABLE I,CDC,INT,309,NA,20H-06H,GA,ADULTE,F,AJ,6,2,2,4,4,4,NA,4,
2014,FALCON 14ml,Silicagel,3,107,41883,09,NATIERA,CDC,INT,18,,,An GA,ADULTE,F,AJ,63,21,21,42,4,4,NA,10,WP6
2015,"EPPENDORF 1,5ml",Silicagel,2,47,42197,07,MOSSIBOUGOU,CDC,INT,297,NA,20H-06H,GA,ADULTE,F,AJ,10,6,6,4,4,4,NA,10,
2014,"EPPENDORF 1,5ml",Silicagel,12,241,41843,07,SISRANKA,CDC,INT,89,,,An GA,ADULTE,F,AJ,6,2,2,4,4,4,NA,29,WP6
2015,"EPPENDORF 1,5ml",Silicagel,3,64,42206,07,SISRANKA,CDC,INT,114,NA,20H-06H,GA,ADULTE,F,AJ,8,4,4,4,4,4,NA,29,
2014,"EPPENDORF 1,5ml",Silicagel,32,1227,41905,09,KANKOUNADENI,CDC,INT,89,,,An GA,ADULTE,F,AJ,6,2,2,4,4,4,NP,36,WP6
2015,"EPPENDORF 1,5ml",Silicagel,1,20,42192,07,KANKOUNADENI,CDC,INT,89,NA,20H-06H,GA,ADULTE,F,AJ,7,3,3,4,4,4,NA,36,
2015,"EPPENDORF 1,5ml",Silicagel,4,82,42209,07,BOLOMAKOTE,CDC,INT,214,NA,20H-06H,GA,ADULTE,F,AJ,6,2,2,4,4,4,NA,37,
2015,"EPPENDORF 1,5ml",Silicagel,1,11,42186,07,BOUNOUMBA,CDC,INT,323,NA,20H-06H,GA,ADULTE,F,AJ,9,4,4,5,5,5,NA,4,
2014,"EPPENDORF 1,5ml",Silicagel,18,504,41866,08,LOMBO,CDC,INT,234,,,An GA,ADULTE,F,AJ,8,3,3,5,5,5,NA,18,WP6
2015,"EPPENDORF 1,5ml",Silicagel,5,108,42249,09,FRIGARA,CDC,INT,502,NA,20H-06H,GA,ADULTE,F,AJ,13,,,13,5,5,NA,20,
2014,"EPPENDORF 1,5ml",Silicagel,12,238,41843,07,SAKORA I,CDC,INT,70,,,An GA,ADULTE,F,AJ,8,3,3,5,5,5,NA,29,WP6
2015,"EPPENDORF 1,5ml",Silicagel,3,65,42206,07,SISRANKA,CDC,INT,89,NA,20H-06H,GA,ADULTE,F,AJ,9,3,3,6,5,5,NA,29,
2015,"EPPENDORF 1,5ml",Silicagel,6,140,42263,09,SISRANKA,CDC,INT,86,NA,20H-06H,GA,ADULTE,F,AJ,16,11,11,5,5,5,NA,29,
