Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
11_220322_L001.srt.dp_stats	70476707.0	2065587.0	25317666.0	3777320.0	30549047.0	5288970.0	32059724.0	5999599.0	29341272.0	5810508.0	23925749.0	5002373.0	17775422.0	3922691.0	12227219.0	2858338.0	7940230.0	1985196.0	4940324.0	1347958.0	3024381.0	906338.0	1828759.0	611450.0	1126747.0	419814.0	709762.0	295629.0	461115.0	215528.0	315482.0	162328.0	226137.0	124629.0	165709.0	99805.0	126886.0	81262.0	99824.0	68084.0	80074.0	56072.0	66410.0	47960.0	55001.0	41438.0	46528.0	36189.0	40420.0	31494.0	35171.0
125_220322_L001.srt.dp_stats	87625650.0	5643079.0	42693001.0	9123133.0	40988481.0	9966102.0	32362484.0	8504897.0	21961819.0	6136755.0	13287173.0	3962764.0	7436472.0	2378158.0	3961807.0	1393681.0	2074102.0	815003.0	1100881.0	488341.0	608881.0	305687.0	360607.0	200635.0	227459.0	141905.0	153704.0	103086.0	108621.0	79446.0	81400.0	63113.0	63846.0	50436.0	52190.0	43420.0	42703.0	36284.0	36920.0	31599.0	31639.0	27039.0	27155.0	23603.0	24086.0	21540.0	20990.0	19698.0	19133.0	17896.0	17241.0
128_220322_L001.srt.dp_stats	84558214.0	6067431.0	37465577.0	9702831.0	36260871.0	10966064.0	30189155.0	9956039.0	22185306.0	7777195.0	14686992.0	5415740.0	8966315.0	3457402.0	5130421.0	2093153.0	2826711.0	1219285.0	1522873.0	707245.0	825540.0	423495.0	460330.0	258546.0	269766.0	169889.0	172360.0	119720.0	120208.0	88371.0	87680.0	69165.0	67946.0	56557.0	55018.0	46460.0	45337.0	38943.0	37891.0	33839.0	32394.0	29296.0	29002.0	26228.0	25476.0	22285.0	21878.0	20307.0	20086.0	18221.0	18203.0
12_220322_L001.srt.dp_stats	79032693.0	2072203.0	33304192.0	3654842.0	36174333.0	4735847.0	34088200.0	5003815.0	28411748.0	4548754.0	21411021.0	3691943.0	14852729.0	2761301.0	9615058.0	1938245.0	5948344.0	1306220.0	3555549.0	858490.0	2087480.0	560746.0	1228588.0	374874.0	742059.0	256065.0	462023.0	180166.0	300005.0	132536.0	205782.0	100564.0	146559.0	79952.0	108992.0	62350.0	84773.0	50907.0	67077.0	43191.0	55091.0	36716.0	46096.0	31514.0	39714.0	27790.0	33539.0	24417.0	29228.0	21343.0	25741.0
131_220322_L001.srt.dp_stats	71400868.0	5502646.0	20711092.0	9322460.0	21717707.0	12070764.0	21167422.0	13106718.0	18999255.0	12469985.0	15836076.0	10787709.0	12402256.0	8667458.0	9201730.0	6540036.0	6532582.0	4698388.0	4465336.0	3252838.0	2973436.0	2195975.0	1952041.0	1451963.0	1265946.0	953544.0	818815.0	628562.0	534182.0	416378.0	358585.0	283807.0	246711.0	198955.0	174290.0	145853.0	129624.0	110600.0	99201.0	86668.0	77214.0	68771.0	63488.0	58089.0	53835.0	49003.0	45721.0	41928.0	40188.0	37140.0	34939.0
132_220322_L001.srt.dp_stats	88348093.0	7169158.0	39695766.0	11430821.0	36547774.0	12453129.0	28571975.0	10798576.0	19698945.0	8016379.0	12272189.0	5325542.0	7112935.0	3289239.0	3951346.0	1939444.0	2148263.0	1128650.0	1163372.0	657474.0	650025.0	395155.0	384025.0	249065.0	240623.0	166434.0	158591.0	118724.0	112764.0	87999.0	84362.0	67794.0	65384.0	54309.0	51955.0	44826.0	42910.0	38645.0	35730.0	32523.0	30681.0	27826.0	27057.0	23985.0	22778.0	21520.0	20562.0	19927.0	19100.0	17483.0	16706.0
136_220322_L001.srt.dp_stats	102099289.0	3781805.0	50533062.0	5638877.0	42706918.0	5915241.0	31214654.0	4990753.0	20385282.0	3652428.0	12213612.0	2430070.0	6873008.0	1506621.0	3718318.0	899597.0	1972834.0	539170.0	1048103.0	324152.0	575684.0	206398.0	336411.0	136800.0	205910.0	96414.0	137625.0	71265.0	96598.0	55305.0	71870.0	43551.0	54346.0	36027.0	45071.0	30578.0	36721.0	26192.0	30841.0	22941.0	26152.0	19635.0	22793.0	17785.0	20535.0	16127.0	18266.0	14670.0	16759.0	13688.0	15233.0
13_220322_L001.srt.dp_stats	65578065.0	1788869.0	17935970.0	3267822.0	22275067.0	4943589.0	25586873.0	6242735.0	26235392.0	6781363.0	24143567.0	6546098.0	20255444.0	5704138.0	15689716.0	4605592.0	11375767.0	3490753.0	7809301.0	2529169.0	5155475.0	1777699.0	3327635.0	1225941.0	2125697.0	843043.0	1365291.0	585634.0	880847.0	418850.0	584543.0	302109.0	401053.0	228043.0	286010.0	174914.0	209579.0	138597.0	159658.0	111309.0	125960.0	90024.0	101795.0	77395.0	83156.0	64453.0	69365.0	55362.0	58999.0	48033.0	51182.0
140_220322_L001.srt.dp_stats	87030352.0	8597545.0	38392691.0	13867623.0	35467674.0	14928303.0	27529729.0	12581311.0	18508271.0	8947261.0	11222249.0	5669983.0	6314972.0	3316730.0	3399083.0	1874695.0	1809394.0	1056868.0	971319.0	612978.0	552046.0	367986.0	330751.0	233812.0	211139.0	156753.0	142278.0	113632.0	102972.0	83920.0	77364.0	65744.0	60120.0	51759.0	47972.0	43151.0	39328.0	35435.0	34352.0	30662.0	29385.0	26082.0	25233.0	23076.0	21957.0	20227.0	19332.0	18004.0	17495.0	16554.0	16202.0
141_220322_L001.srt.dp_stats	87921483.0	7462976.0	37750590.0	11833308.0	35010401.0	12965072.0	27765708.0	11354228.0	19417427.0	8508444.0	12327273.0	5740611.0	7327468.0	3609392.0	4172068.0	2165224.0	2328021.0	1298165.0	1308592.0	777535.0	757316.0	478555.0	456023.0	307559.0	289354.0	205957.0	191551.0	145232.0	133811.0	105657.0	96696.0	79233.0	72410.0	60572.0	57705.0	49323.0	46694.0	41515.0	39493.0	35366.0	32844.0	29892.0	28882.0	26151.0	25592.0	23021.0	22274.0	20754.0	19654.0	18269.0	17785.0
