Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
25_220322_L001.srt.dp	results/25_220322_L001/25_220322_L001.srt.dp.bam	24680962.0	23323176.0	1668643400.0	1663218368.0	38941.9323	66.0	40.9015	0.0234	5.4549	94.49865041727304
260_220322_L001.srt.dp	results/260_220322_L001/260_220322_L001.srt.dp.bam	32947478.0	25312412.0	1715310671.0	1709769403.0	26856.2587	59.0	41.1133	0.0231	5.6075	76.8265540688729
261_220322_L001.srt.dp	results/261_220322_L001/261_220322_L001.srt.dp.bam	14207440.0	7354935.0	502632843.0	501081505.0	32266.8369	57.0	40.6987	0.0242	1.6431	51.76819328464523
262_220322_L001.srt.dp	results/262_220322_L001/262_220322_L001.srt.dp.bam	20973004.0	11104905.0	677278786.0	675468938.0	26032.5191	53.0	39.6811	0.0217	2.2141	52.94856664309986
26_220322_L001.srt.dp	results/26_220322_L001/26_220322_L001.srt.dp.bam	32883139.0	31630167.0	2227529918.0	2221072143.0	39685.7945	65.0	40.6251	0.0224	7.282	96.1896216781494
273_220322_L001.srt.dp	results/273_220322_L001/273_220322_L001.srt.dp.bam	20486016.0	19567778.0	1411406705.0	1406863412.0	36331.6713	64.0	40.9047	0.024	4.614	95.51773268164978
274_220322_L001.srt.dp	results/274_220322_L001/274_220322_L001.srt.dp.bam	15823388.0	15151755.0	1085321970.0	1081750224.0	45096.7485	64.0	40.8769	0.0238	3.548	95.75544124937086
27_220322_L001.srt.dp	results/27_220322_L001/27_220322_L001.srt.dp.bam	23148407.0	21473093.0	1548691048.0	1543674364.0	24773.4087	65.0	41.0819	0.0226	5.0628	92.76272445011011
291_220322_L001.srt.dp	results/291_220322_L001/291_220322_L001.srt.dp.bam	13607586.0	13206707.0	1144653795.0	1140429349.0	44535.8943	81.0	41.9557	0.025	3.742	97.05400355360605
294_220322_L001.srt.dp	results/294_220322_L001/294_220322_L001.srt.dp.bam	14451664.0	13555604.0	1111689204.0	1106170889.0	51501.1665	75.0	41.2574	0.0334	3.6342	93.79960674424758
295_220322_L001.srt.dp	results/295_220322_L001/295_220322_L001.srt.dp.bam	20499096.0	19660995.0	1560375807.0	1554672471.0	39820.5979	72.0	41.6192	0.0251	5.101	95.91152214712298
299_220322_L001.srt.dp	results/299_220322_L001/299_220322_L001.srt.dp.bam	20891938.0	18726255.0	1146945984.0	1143810346.0	30058.2605	56.0	39.7974	0.0222	3.7495	89.63388173945376
