Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
C5_6_EKDN220028503-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_6_EKDN220028503-1A_H5J72DSX5_L2/C5_6_EKDN220028503-1A_H5J72DSX5_L2.srt.dp.bam	7944325.0	7874018.0	1109487385.0	1104402944.0	160145.8598	247.0	43.8363	0.0299	3.627	99.115003477325
C5_7_EKDN220028567-1A_H3NGLDSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_7_EKDN220028567-1A_H3NGLDSX5_L1/C5_7_EKDN220028567-1A_H3NGLDSX5_L1.srt.dp.bam	9164456.0	9102652.0	1276725454.0	1271042131.0	145510.2469	227.0	43.4996	0.0299	4.1737	99.32561190756985
C5_8_EKDN220028634-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_8_EKDN220028634-1A_H3V53DSX5_L2/C5_8_EKDN220028634-1A_H3V53DSX5_L2.srt.dp.bam	9370595.0	9325000.0	1300961769.0	1294954135.0	144688.4313	213.0	43.6573	0.0302	4.2529	99.51342470782272
C5_9_EKDN220028706-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C5_9_EKDN220028706-1A_H5J72DSX5_L2/C5_9_EKDN220028706-1A_H5J72DSX5_L2.srt.dp.bam	7994219.0	7949427.0	1113909644.0	1108588515.0	150709.3286	222.0	43.7813	0.0309	3.6415	99.43969510967862
C6_10_EKDN220028774-1A_H5JF5DSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_10_EKDN220028774-1A_H5JF5DSX5_L3/C6_10_EKDN220028774-1A_H5JF5DSX5_L3.srt.dp.bam	4621360.0	4601346.0	644476383.0	641355346.0	133702.4663	210.0	43.6498	0.0298	2.1068	99.56692402236571
C6_12_EKDN220028890-1A_H5JF5DSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_12_EKDN220028890-1A_H5JF5DSX5_L3/C6_12_EKDN220028890-1A_H5JF5DSX5_L3.srt.dp.bam	6970877.0	6942485.0	975477544.0	971232158.0	141130.3442	215.0	43.7068	0.0283	3.1889	99.59270548024301
C6_13_EKDN220028945-1A_H3VYYDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_13_EKDN220028945-1A_H3VYYDSX5_L2/C6_13_EKDN220028945-1A_H3VYYDSX5_L2.srt.dp.bam	9907266.0	9847415.0	1388862739.0	1382524960.0	177536.6871	270.0	43.9489	0.0296	4.5403	99.39588782616718
C6_1_EKDN220028151-1A_H57YWDSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_1_EKDN220028151-1A_H57YWDSX5_L3/C6_1_EKDN220028151-1A_H57YWDSX5_L3.srt.dp.bam	7106044.0	7071045.0	990766946.0	986029886.0	133628.1105	215.0	44.0033	0.0304	3.2389	99.50747560808799
C6_2_EKDN220028225-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_2_EKDN220028225-1A_H3NGLDSX5_L2/C6_2_EKDN220028225-1A_H3NGLDSX5_L2.srt.dp.bam	7001576.0	6958607.0	973589689.0	969010972.0	143724.8729	227.0	43.8046	0.031	3.1827	99.38629531408357
C6_3_EKDN220028287-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_3_EKDN220028287-1A_H3NGLDSX5_L2/C6_3_EKDN220028287-1A_H3NGLDSX5_L2.srt.dp.bam	7926182.0	7885989.0	1100756896.0	1095565033.0	143118.7108	212.0	43.6587	0.0312	3.5985	99.49290843939743
C6_4_EKDN220028361-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_4_EKDN220028361-1A_H5J72DSX5_L1/C6_4_EKDN220028361-1A_H5J72DSX5_L1.srt.dp.bam	7163298.0	7069135.0	974852301.0	970330927.0	137022.1146	203.0	44.1842	0.0301	3.1869	98.68547978877885
C6_6_EKDN220028504-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_6_EKDN220028504-1A_H5J72DSX5_L2/C6_6_EKDN220028504-1A_H5J72DSX5_L2.srt.dp.bam	6113616.0	6082686.0	857899041.0	853833425.0	154529.9254	240.0	43.7018	0.0303	2.8045	99.49408009924078
C6_7_EKDN220028568-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_7_EKDN220028568-1A_H3NGLDSX5_L2/C6_7_EKDN220028568-1A_H3NGLDSX5_L2.srt.dp.bam	6957692.0	6922653.0	959233176.0	954766356.0	135478.3876	202.0	43.6619	0.0309	3.1358	99.49639909326254
C6_8_EKDN220028635-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_8_EKDN220028635-1A_H3V53DSX5_L2/C6_8_EKDN220028635-1A_H3V53DSX5_L2.srt.dp.bam	9982586.0	9932703.0	1382785947.0	1376550653.0	137394.284	214.0	43.5994	0.0305	4.5204	99.50029982211022
C6_9_EKDN220028707-1A_H3V53DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C6_9_EKDN220028707-1A_H3V53DSX5_L2/C6_9_EKDN220028707-1A_H3V53DSX5_L2.srt.dp.bam	10638054.0	10578592.0	1471221238.0	1464219187.0	143479.3219	215.0	43.868	0.0314	4.8095	99.44104438650152
C7_10_EKDN220028775-1A_H5JF5DSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C7_10_EKDN220028775-1A_H5JF5DSX5_L3/C7_10_EKDN220028775-1A_H5JF5DSX5_L3.srt.dp.bam	7548784.0	7509582.0	1048808314.0	1043817779.0	149031.78	223.0	43.8166	0.03	3.4286	99.48068457118391
C7_11_EKDN220028830-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C7_11_EKDN220028830-1A_H5J72DSX5_L1/C7_11_EKDN220028830-1A_H5J72DSX5_L1.srt.dp.bam	7414684.0	7375951.0	1037221124.0	1032241507.0	140899.9995	227.0	43.923	0.0301	3.3908	99.47761765707075
C7_13_EKDN220028946-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C7_13_EKDN220028946-1A_H5J72DSX5_L2/C7_13_EKDN220028946-1A_H5J72DSX5_L2.srt.dp.bam	8552463.0	8486936.0	1199930303.0	1194361685.0	220051.3781	390.0	45.1998	0.0316	3.9227	99.23382305190914
C7_1_EKDN220028152-1A_H57YWDSX5_L3.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C7_1_EKDN220028152-1A_H57YWDSX5_L3/C7_1_EKDN220028152-1A_H57YWDSX5_L3.srt.dp.bam	6982931.0	6910971.0	969148912.0	964510747.0	136331.3343	222.0	44.158	0.0302	3.1682	98.96948716806739
C7_2_EKDN220028226-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C7_2_EKDN220028226-1A_H3NGLDSX5_L2/C7_2_EKDN220028226-1A_H3NGLDSX5_L2.srt.dp.bam	6435060.0	6387891.0	892489906.0	888280003.0	207507.8224	321.0	45.9415	0.0312	2.9176	99.26699984149332
C7_3_EKDN220028288-1A_H3NGLDSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C7_3_EKDN220028288-1A_H3NGLDSX5_L2/C7_3_EKDN220028288-1A_H3NGLDSX5_L2.srt.dp.bam	6435280.0	6401302.0	894044690.0	889712609.0	146090.1057	215.0	43.8452	0.0316	2.9227	99.47200432615209
C7_4_EKDN220028362-1A_H5J72DSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C7_4_EKDN220028362-1A_H5J72DSX5_L1/C7_4_EKDN220028362-1A_H5J72DSX5_L1.srt.dp.bam	6045188.0	6015849.0	833954936.0	830125720.0	140509.0696	202.0	43.7583	0.0305	2.7263	99.51467183485443
C7_6_EKDN220028505-1A_H5J72DSX5_L2.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C7_6_EKDN220028505-1A_H5J72DSX5_L2/C7_6_EKDN220028505-1A_H5J72DSX5_L2.srt.dp.bam	9148076.0	9098667.0	1285084477.0	1279051829.0	153497.7904	244.0	43.7696	0.03	4.201	99.4598973598383
C7_7_EKDN220028569-1A_H3NGLDSX5_L1.srt.dp	/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/C7_7_EKDN220028569-1A_H3NGLDSX5_L1/C7_7_EKDN220028569-1A_H3NGLDSX5_L1.srt.dp.bam	6201406.0	6167463.0	859015017.0	855228882.0	136440.9238	209.0	43.9562	0.0302	2.8082	99.45265638147221
