bamorder,sample_name,sample_metadata_id,collection_date,village,method,sample,species,conc_ng_ul,estimated_total_ng,well,cluster,lat,long,month,year,treated
164,B3_5,B3_5,01/09/2014,KANGOUNABA II,CDC,105-5,gambiae,2.6712,1335.6,B3,1,10.58465,-4.54745,9,2014,1
165,B3_6,B3_6,07/09/2014,SOBARA II,CDC,123a-7,gambiae,1.65,824.4,B3,3,10.25882,-4.41593,9,2014,1
166,B3_7,B3_7,09/09/2014,BOUSSANRA I,CDC,139a-18,gambiae,3.352,1676,B3,26,10.50926,-4.57797,9,2014,0
167,B3_8,B3_8,19/09/2014,BOLOMAKOTE,CDC,195-9,gambiae,4.406,2203,B3,9,10.20378,-4.39405,9,2014,1
168,B3_9,B3_9,05/11/2014,NATIERA,CDC,357-9,gambiae,3.9728,1986.4,B3,10,10.69726,-4.44495,11,2014,1
169,B4_11,B4_11,01/07/2015,BAMAKO,CDC,017-13,gambiae,6.4372,3218.6,B4,20,10.49796,-4.46115,7,2015,1
170,B4_13,B4_13,16/07/2015,SOBARA II,CDC,029-5,gambiae,4.14,2070,B4,3,10.25882,-4.41593,7,2015,1
171,B4_1,B4_1,25/07/2014,KOFING,CDC,51a-5,gambiae,3.33,1666,B4,9,10.20378,-4.39405,7,2014,1
172,B4_3,B4_3,02/09/2015,BAMAKO,CDC,107b-14,gambiae,3.1328,1566.4,B4,20,10.49796,-4.46115,9,2015,1
173,B4_4,B4_4,07/09/2015,DASSORPIRE,CDC,119-4,gambiae,1.3056,652.8,B4,12,10.67426,-4.59349,9,2015,1
174,B4_5,B4_5,01/09/2014,MOSSIBOUGOU,CDC,106a-6,gambiae,3.2072,1603.6,B4,10,10.69726,-4.44495,9,2014,1
175,B4_8,B4_8,19/09/2014,KOFLANDE,CDC,209-2,gambiae,3.5848,1792.4,B4,37,10.23163,-4.4324,9,2014,0
176,B4_9,B4_9,05/11/2014,NATIERA,CDC,357-17,gambiae,5.1908,2595.4,B4,10,10.69726,-4.44495,11,2014,1
177,B5_11,B5_11,01/07/2015,BAMAKO,CDC,442-2,gambiae,6.7536,3376.8,B5,20,10.49796,-4.46115,7,2015,1
178,B5_12,B5_12,12/07/2015,KANKOUNABA II,CDC,024-2,gambiae,7.5824,3791.2,B5,1,10.58465,-4.54745,7,2015,1
179,B5_13,B5_13,16/07/2015,SOBARA II,CDC,029-12,gambiae,2.774,1387,B5,3,10.25882,-4.41593,7,2015,1
180,B5_1,B5_1,25/07/2014,KOFING,CDC,51a-13,gambiae,3.13,1567.2,B5,9,10.20378,-4.39405,7,2014,1
181,B5_3,B5_3,02/09/2015,FRIGARA,CDC,108-1,gambiae,5.184,2592,B5,20,10.49796,-4.46115,9,2015,1
182,B5_4,B5_4,07/09/2015,DASSORPIRE,CDC,119-12,gambiae,1.1072,553.6,B5,12,10.67426,-4.59349,9,2015,1
183,B5_5,B5_5,01/09/2014,MOSSIBOUGOU,CDC,106a-14,gambiae,1.7504,875.2,B5,10,10.69726,-4.44495,9,2014,1
184,B5_6,B5_6,08/09/2014,TIEFORA II,CDC,132a-3,gambiae,3.28,1637.8,B5,11,10.66015,-4.51636,9,2014,1
185,B5_7,B5_7,11/09/2014,BOUNOUBA,CDC,1019-2,gambiae,3.3512,1675.6,B5,39,10.26145,-4.36408,9,2014,0
186,B5_8,B5_8,19/09/2014,KOFLANDE,CDC,209-10,gambiae,4.5636,2281.8,B5,37,10.23163,-4.4324,9,2014,0
187,B5_9,B5_9,06/11/2014,BAMAKO,CDC,1856-3,gambiae,5.0492,2524.6,B5,20,10.49796,-4.46115,11,2014,0
188,B6_10,B6_10,11/09/2015,KIESSE(KEHINSA),CDC,134-13,gambiae,2.4856,1242.8,B6,2,10.10211,-4.3382,9,2015,1
189,B6_12,B6_12,12/07/2015,KANKOUNABA II,CDC,024-10,gambiae,3.0696,1534.8,B6,1,10.58465,-4.54745,7,2015,1
190,B6_13,B6_13,21/07/2015,SISRANKA,CDC,852-4,gambiae,5.7272,2863.6,B6,39,10.26145,-4.36408,7,2015,0
191,B6_1,B6_1,30/07/2014,KANKOUNADENI,CDC,53a-1,gambiae,2.04,1021.2,B6,36,10.48214,-4.61734,7,2014,0
192,B6_3,B6_3,03/09/2015,KANGOUNABA I,CDC,109-4,gambiae,3.96,1980,B6,1,10.58465,-4.54745,9,2015,1
193,B6_4,B6_4,07/09/2015,TIEFORA II,CDC,123b-3,gambiae,1.3032,651.6,B6,11,10.66015,-4.51636,9,2015,1
194,B6_5,B6_5,01/09/2014,MOSSIBOUGOU,CDC,785-1,gambiae,2.8164,1408.2,B6,10,10.69726,-4.44495,9,2014,1
195,B6_7,B6_7,12/09/2014,LOMBO,CDC,34-2,gambiae,3.2616,1630.8,B6,18,10.07051,-4.30001,9,2014,1
196,B6_8,B6_8,19/09/2014,KOFLANDE,CDC,209-18,gambiae,3.502,1751,B6,37,10.23163,-4.4324,9,2014,0
197,B7_10,B7_10,11/09/2015,LOMBO,CDC,136-8,gambiae,2.2484,1124.2,B7,18,10.07051,-4.30001,9,2015,1
198,B7_12,B7_12,12/07/2015,MOSSIBOUGOU,CDC,629-1,gambiae,3.964,1982,B7,10,10.69726,-4.44495,7,2015,1
199,B7_13,B7_13,24/07/2015,BAKARIDJAN II,CDC,915-1,gambiae,3.1436,1571.8,B7,9,10.20378,-4.39405,7,2015,1
200,B7_1,B7_1,30/07/2014,KANKOUNADENI,CDC,53a-9,gambiae,1.42,709.2,B7,36,10.48214,-4.61734,7,2014,0
201,B7_2,B7_2,09/11/2015,PONT MAURICE,CDC,310-8,gambiae,1.76,878.4,B7,11,10.66015,-4.51636,11,2015,1
202,B7_3,B7_3,03/09/2015,KANGOUNABA I,CDC,109-12,gambiae,3.8,1900,B7,1,10.58465,-4.54745,9,2015,1
203,B7_4,B7_4,07/09/2015,TIEFORA II,CDC,123b-11,gambiae,1.452,726,B7,11,10.66015,-4.51636,9,2015,1
204,B7_5,B7_5,03/09/2014,BOUNOUMBA,CDC,111a-7,gambiae,4.6636,2331.8,B7,4,10.31913,-4.38869,9,2014,1
205,B7_6,B7_6,08/09/2014,TIEFORA II,CDC,132a-19,gambiae,3.01,1506.4,B7,11,10.66015,-4.51636,9,2014,1
206,B7_7,B7_7,12/09/2014,LOMBO,CDC,34-10,gambiae,5.7496,2874.8,B7,18,10.07051,-4.30001,9,2014,1
207,B7_8,B7_8,23/09/2014,KANKOUNADENI,CDC,223-5,gambiae,5.0148,2507.4,B7,36,10.48214,-4.61734,9,2014,0
208,B7_9,B7_9,10/11/2014,PONT MAURICE,CDC,360-16,gambiae,3.4608,1730.4,B7,11,10.66015,-4.51636,11,2014,1
209,B8_10,B8_10,11/09/2015,LOMBO,CDC,136-16,gambiae,4.0368,2018.4,B8,18,10.07051,-4.30001,9,2015,1
210,B8_11,B8_11,01/07/2015,YABLE I,CDC,541-3,gambiae,3.3736,1686.8,B8,4,10.31913,-4.38869,7,2015,1
211,B8_12,B8_12,12/07/2015,NATIERA,CDC,657-7,gambiae,3.6784,1839.2,B8,10,10.69726,-4.44495,7,2015,1
212,B8_13,B8_13,24/07/2015,BAKARIDJAN I,CDC,906-1,gambiae,4.2584,2129.2,B8,9,10.20378,-4.39405,7,2015,1
213,B8_1,B8_1,30/07/2014,KANKOUNADENI,CDC,280-1,gambiae,1.66,828,B8,36,10.48214,-4.61734,7,2014,0
214,B8_2,B8_2,09/11/2015,PONT MAURICE,CDC,310-16,gambiae,1.74,872.4,B8,11,10.66015,-4.51636,11,2015,1
215,B8_3,B8_3,03/09/2015,KANGOUNABA I,CDC,111b-7,gambiae,1.7352,867.6,B8,1,10.58465,-4.54745,9,2015,1
216,B8_4,B8_4,07/09/2015,TIEFORA II,CDC,125-3,gambiae,1.048,524,B8,11,10.66015,-4.51636,9,2015,1
217,B8_5,B8_5,03/09/2014,BOUNOUMBA,CDC,112a-8,gambiae,3.5672,1783.6,B8,4,10.31913,-4.38869,9,2014,1
218,B8_6,B8_6,08/09/2014,SANHOUNOU,CDC,135-5,gambiae,2.31,1155.6,B8,12,10.67426,-4.59349,9,2014,1
219,B8_7,B8_7,12/09/2014,LOMBO,CDC,34-18,gambiae,3.084,1542,B8,18,10.07051,-4.30001,9,2014,1
220,B8_9,B8_9,10/09/2015,KOFING,CDC,128-6,gambiae,6.4888,3244.4,B8,9,10.20378,-4.39405,9,2015,1
221,B9_10,B9_10,16/09/2015,SISRANKA,CDC,139b-6,gambiae,2.2232,1111.6,B9,29,10.40929,-4.61967,9,2015,0
222,B9_11,B9_11,07/07/2015,KANKOUNADENI,CDC,519-1,gambiae,4.7024,2351.2,B9,36,10.48214,-4.61734,7,2015,0
