Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
A1_10_EKDN220028751-1A_H5JF5DSX5_L3.srt.dp_stats	93429104.0	32553902.0	38783476.0	32605375.0	29369515.0	22185736.0	17215645.0	12135822.0	8654446.0	5797110.0	3932695.0	2571708.0	1716092.0	1135044.0	762988.0	528072.0	372829.0	275753.0	204687.0	160193.0	131218.0	107182.0	90101.0	76628.0	65193.0	57166.0	49436.0	43363.0	39172.0	34973.0	31476.0	28781.0	25407.0	22820.0	20592.0	19595.0	18445.0	17515.0	16083.0	14949.0	14282.0	12994.0	12311.0	11606.0	10587.0	10174.0	9469.0	9380.0	9055.0	8643.0	8235.0	8030.0	7660.0	7763.0	7097.0
A1_13_EKDN220028924-1A_H5J72DSX5_L2.srt.dp_stats	106832814.0	33667464.0	42539221.0	30080943.0	28003430.0	18735398.0	14965779.0	9626365.0	6990424.0	4370346.0	3020286.0	1893078.0	1285251.0	830959.0	570898.0	393628.0	284453.0	208388.0	164479.0	127521.0	104150.0	87817.0	73228.0	63064.0	54248.0	47579.0	40635.0	36465.0	32305.0	28834.0	26635.0	23734.0	21834.0	19840.0	18963.0	17409.0	16935.0	15220.0	13837.0	12859.0	11993.0	11353.0	10203.0	10486.0	10074.0	9668.0	9116.0	8636.0	8124.0	8031.0	7683.0	7246.0	7295.0	7110.0	6555.0
A1_2_EKDN220028206-1A_H57WKDSX5_L2.srt.dp_stats	135111641.0	47510353.0	45494935.0	26749310.0	20173107.0	11365580.0	7611386.0	4241227.0	2692689.0	1516113.0	959990.0	566139.0	366588.0	240634.0	165544.0	120358.0	91479.0	72575.0	58685.0	51087.0	42638.0	36058.0	32359.0	28722.0	26837.0	22649.0	21349.0	19488.0	17308.0	16526.0	15111.0	13776.0	12655.0	12349.0	11220.0	11065.0	10227.0	9873.0	8739.0	8518.0	8292.0	7852.0	7635.0	7024.0	7051.0	6784.0	6638.0	5848.0	5420.0	5801.0	5632.0	5465.0	5123.0	4917.0	4755.0
A1_3_EKDN220028262-1A_H3NGLDSX5_L2.srt.dp_stats	89500590.0	31571739.0	36961351.0	33202072.0	29831594.0	23561973.0	18234295.0	13136658.0	9352803.0	6357232.0	4293235.0	2837789.0	1883995.0	1231601.0	835841.0	564869.0	398219.0	292555.0	222838.0	170172.0	135185.0	111258.0	93180.0	78323.0	67848.0	59325.0	52251.0	45410.0	40132.0	37252.0	32415.0	29779.0	26439.0	24269.0	21964.0	20096.0	17870.0	16462.0	15068.0	13892.0	13132.0	12519.0	11966.0	11245.0	10698.0	10018.0	9159.0	8724.0	8192.0	8066.0	7760.0	7406.0	7319.0	6775.0	6380.0
A1_4_EKDN220028333-1A_H3V53DSX5_L2.srt.dp_stats	93683983.0	29342216.0	36777643.0	30070641.0	28774089.0	21873789.0	18139004.0	13027681.0	9871019.0	6858016.0	4923155.0	3325776.0	2328731.0	1573650.0	1108874.0	759588.0	549846.0	399343.0	300990.0	232221.0	184558.0	146854.0	122241.0	104880.0	89368.0	78587.0	66738.0	60516.0	54023.0	48288.0	44662.0	39784.0	36004.0	32166.0	29204.0	26499.0	24822.0	22294.0	21574.0	19827.0	19239.0	17375.0	16393.0	15238.0	13934.0	13309.0	13200.0	12130.0	11405.0	11082.0	10827.0	10380.0	10111.0	9442.0	8983.0
A1_6_EKDN220028481-1A_H5J72DSX5_L2.srt.dp_stats	89547777.0	28229000.0	35308283.0	31296719.0	29668959.0	23670493.0	19231326.0	14160550.0	10482742.0	7291626.0	5084680.0	3441651.0	2325607.0	1552776.0	1051092.0	718345.0	500279.0	355121.0	262814.0	203011.0	161811.0	127843.0	106351.0	87880.0	73456.0	65864.0	58192.0	50447.0	44150.0	38942.0	34880.0	31984.0	28498.0	25567.0	23417.0	21282.0	19727.0	17598.0	16248.0	14768.0	14624.0	13882.0	12371.0	11642.0	10989.0	10591.0	10159.0	9300.0	9154.0	9106.0	8771.0	7866.0	7883.0	7519.0	7286.0
A1_7_EKDN220028548-1A_H3NGLDSX5_L2.srt.dp_stats	110045948.0	34091110.0	42985772.0	28884191.0	27412117.0	17852306.0	14488790.0	9116784.0	6764953.0	4215662.0	2975896.0	1855775.0	1282531.0	823268.0	577957.0	395784.0	289305.0	215831.0	170505.0	134317.0	109214.0	90712.0	75302.0	66289.0	56432.0	49187.0	42243.0	38203.0	34252.0	30649.0	27731.0	25462.0	22977.0	21660.0	19405.0	17603.0	16754.0	15626.0	14256.0	13476.0	12063.0	11486.0	11148.0	10525.0	10210.0	9646.0	9582.0	8642.0	8487.0	7986.0	7606.0	7347.0	6753.0	6889.0	6338.0
A1_8_EKDN220028611-1A_H5J72DSX5_L2.srt.dp_stats	93129848.0	33512478.0	39221308.0	33137165.0	29354530.0	22196170.0	17072238.0	11939861.0	8454059.0	5618694.0	3788741.0	2470765.0	1639245.0	1066409.0	708538.0	478489.0	333725.0	234880.0	172197.0	132522.0	103975.0	83954.0	68409.0	56648.0	48587.0	42298.0	38039.0	32679.0	29877.0	26108.0	22456.0	21228.0	19600.0	17780.0	16638.0	15740.0	15315.0	13881.0	12481.0	11463.0	11022.0	10199.0	10145.0	9196.0	8940.0	8496.0	7533.0	7550.0	7185.0	6901.0	6794.0	6596.0	6024.0	6208.0	5443.0
A1_9_EKDN220028683-1A_H3VYYDSX5_L2.srt.dp_stats	87153643.0	29133153.0	35110472.0	32336536.0	29960534.0	24278915.0	19325026.0	14322484.0	10424583.0	7224796.0	4976490.0	3321142.0	2224772.0	1478189.0	1001776.0	679309.0	475114.0	342062.0	260509.0	203598.0	162118.0	132046.0	109529.0	94783.0	80219.0	69647.0	59920.0	51242.0	45387.0	40079.0	37346.0	34166.0	30875.0	28360.0	25564.0	22991.0	21497.0	19650.0	17852.0	15899.0	14702.0	13602.0	12577.0	11597.0	10670.0	10653.0	9885.0	9457.0	9101.0	8751.0	8279.0	7996.0	7337.0	7334.0	6727.0
A2_10_EKDN220028753-1A_H5JF5DSX5_L3.srt.dp_stats	91179168.0	27253436.0	35838884.0	29610798.0	29234257.0	22554021.0	19115415.0	13887292.0	10701704.0	7451588.0	5435151.0	3675653.0	2587631.0	1751875.0	1227558.0	841383.0	594387.0	423581.0	312914.0	236573.0	185039.0	149145.0	123332.0	104919.0	89824.0	78028.0	69377.0	61696.0	55331.0	48649.0	42960.0	38672.0	36413.0	32785.0	29419.0	27874.0	25536.0	23592.0	22113.0	20105.0	18725.0	17715.0	17057.0	15736.0	14246.0	13262.0	12844.0	12386.0	11135.0	10871.0	10135.0	10248.0	9305.0	9289.0	8508.0
